,digit
1038,6
1039,8
1040,1
1041,9
1042,7
1043,6
1044,8
1045,3
1046,7
1047,4
1048,7
1049,0
1050,9
1051,0
1052,0
1053,3
1054,7
1055,9
1056,3
1057,0
1058,2
1059,0
1060,1
1061,0
1062,1
1063,0
1064,4
1065,0
1066,1
1067,0
1068,4
1069,7
1070,9
1071,6
1072,2
1073,6
1074,2
1075,2
1076,9
1077,9
1078,0
1079,1
1080,2
1081,3
1082,4
1083,5
1084,6
1085,7
1086,8
1087,9
1088,0
1089,1
1090,2
1091,3
1092,4
1093,5
1094,6
1095,7
1096,8
1097,9
1098,0
1099,1
1100,2
1101,3
1102,4
1103,5
1104,6
1105,7
1106,8
1107,9
1108,8
1109,0
1110,5
1111,6
1112,6
1113,0
1114,8
1115,0
1116,2
1117,3
1118,7
1119,9
1120,4
1121,7
1122,1
1123,9
1124,1
1125,7
1126,1
1127,4
1128,0
1129,0
1130,4
1131,1
1132,7
1133,5
1134,7
1135,1
1136,3
1137,3
1138,3
1139,1
1140,6
1141,9
1142,7
1143,4
1144,3
1145,0
1146,2
1147,5
1148,2
1149,6
1150,0
1151,8
1152,9
1153,4
1154,3
1155,5
1156,4
1157,8
1158,1
1159,5
1160,9
1161,0
1162,6
1163,4
1164,3
1165,6
1166,3
1167,3
1168,8
1169,1
1170,4
1171,7
1172,5
1173,7
1174,2
1175,2
1176,0
1177,0
1178,1
1179,7
1180,7
1181,9
1182,5
1183,9
1184,8
1185,9
1186,6
1187,8
1188,8
1189,2
1190,3
1191,6
1192,1
1193,2
1194,9
1195,8
1196,9
1197,5
1198,2
1199,6
1200,2
1201,4
1202,8
1203,4
1204,6
1205,5
1206,0
1207,1
1208,5
1209,6
1210,7
1211,8
1212,9
1213,0
1214,1
1215,2
1216,3
1217,4
1218,5
1219,6
1220,7
1221,8
1222,9
1223,0
1224,1
1225,2
1226,3
1227,4
1228,5
1229,6
1230,7
1231,8
1232,9
1233,7
1234,4
1235,2
1236,0
1237,9
1238,0
1239,1
1240,5
1241,8
1242,8
1243,0
1244,2
1245,7
1246,8
1247,4
1248,4
1249,6
1250,1
1251,0
1252,4
1253,5
1254,3
1255,9
1256,4
1257,2
1258,0
1259,5
1260,0
1261,1
1262,3
1263,2
1264,9
1265,1
1266,6
1267,0
1268,1
1269,1
1270,8
1271,0
1272,4
1273,7
1274,7
1275,6
1276,3
1277,6
1278,0
1279,7
1280,3
1281,5
1282,4
1283,2
1284,4
1285,1
1286,8
1287,3
1288,5
1289,6
1290,7
1291,0
1292,6
1293,7
1294,1
1295,2
1296,5
1297,8
1298,1
1299,9
1300,3
1301,8
1302,2
1303,8
1304,7
1305,6
1306,7
1307,1
1308,4
1309,6
1310,2
1311,9
1312,3
1313,0
1314,1
1315,2
1316,3
1317,4
1318,5
1319,6
1320,7
1321,0
1322,1
1323,2
1324,3
1325,4
1326,5
1327,0
1328,1
1329,2
1330,8
1331,9
1332,1
1333,4
1334,0
1335,9
1336,5
1337,0
1338,8
1339,0
1340,7
1341,7
1342,1
1343,1
1344,2
1345,9
1346,3
1347,6
1348,7
1349,2
1350,3
1351,8
1352,1
1353,2
1354,9
1355,8
1356,8
1357,7
1358,1
1359,7
1360,1
1361,1
1362,0
1363,3
1364,4
1365,2
1366,6
1367,4
1368,7
1369,4
1370,2
1371,7
1372,4
1373,9
1374,1
1375,0
1376,6
1377,8
1378,5
1379,5
1380,5
1381,3
1382,5
1383,9
1384,7
1385,4
1386,8
1387,5
1388,9
1389,6
1390,9
1391,3
1392,0
1393,3
1394,8
1395,9
1396,1
1397,8
1398,1
1399,6
1400,0
1401,0
1402,1
1403,2
1404,3
1405,4
1406,5
1407,6
1408,7
1409,8
1410,9
1411,0
1412,1
1413,2
1414,3
1415,4
1416,5
1417,6
1418,7
1419,8
1420,9
1421,0
1422,1
1423,2
1424,3
1425,4
1426,5
1427,6
1428,7
1429,8
1430,9
1431,3
1432,5
1433,3
1434,2
1435,9
1436,3
1437,2
1438,1
1439,4
1440,5
1441,5
1442,2
1443,3
1444,2
1445,1
1446,3
1447,9
1448,7
1449,2
1450,1
1451,2
1452,8
1453,9
1454,1
1455,8
1456,8
1457,7
1458,8
1459,1
1460,0
1461,0
1462,7
1463,7
1464,8
1465,7
1466,5
1467,0
1468,6
1469,1
1470,5
1471,7
1472,4
1473,6
1474,1
1475,2
1476,5
1477,0
1478,7
1479,9
1480,9
1481,0
1482,3
1483,8
1484,4
1485,4
1486,8
1487,1
1488,8
1489,6
1490,5
1491,9
1492,0
1493,0
1494,0
1495,3
1496,7
1497,1
1498,6
1499,4
1500,2
1501,6
1502,6
1503,0
1504,4
1505,5
1506,4
1507,1
1508,3
1509,8
1510,6
1511,3
1512,9
1513,9
1514,5
1515,9
1516,3
1517,7
1518,8
1519,5
1520,6
1521,4
1522,7
1523,6
1524,2
1525,2
1526,0
1527,9
1528,4
1529,0
1530,1
1531,2
1532,3
1533,4
1534,5
1535,6
1536,7
1537,8
1538,9
1539,0
1540,1
1541,2
1542,3
1543,5
1544,6
1545,0
1546,1
1547,2
1548,3
1549,4
1550,5
1551,6
1552,8
1553,7
1554,1
1555,3
1556,2
1557,8
1558,0
1559,7
1560,5
1561,9
1562,9
1563,6
1564,0
1565,9
1566,4
1567,1
1568,3
1569,2
1570,1
1571,2
1572,3
1573,8
1574,3
1575,2
1576,6
1577,5
1578,6
1579,8
1580,2
1581,7
1582,4
1583,8
1584,1
1585,8
1586,0
1587,5
1588,3
1589,9
1590,4
1591,1
1592,9
1593,2
1594,1
1595,9
1596,6
1597,7
1598,9
1599,0
1600,4
1601,6
1602,1
1603,7
1604,3
1605,8
1606,7
1607,2
1608,9
1609,6
1610,5
1611,8
1612,3
1613,9
1614,0
1615,5
1616,7
1617,1
1618,6
1619,1
1620,0
1621,9
1622,3
1623,3
1624,4
1625,4
1626,0
1627,6
1628,2
1629,5
1630,4
1631,2
1632,3
1633,4
1634,6
1635,0
1636,0
1637,2
1638,0
1639,1
1640,4
1641,5
1642,6
1643,7
1644,8
1645,9
1646,0
1647,1
1648,2
1649,3
1650,4
1651,5
1652,6
1653,7
1654,8
1655,0
1656,1
1657,2
1658,3
1659,4
1660,5
1661,6
1662,7
1663,8
1664,9
1665,8
1666,7
1667,1
1668,3
1669,7
1670,5
1671,2
1672,8
1673,0
1674,7
1675,5
1676,9
1677,9
1678,0
1679,9
1680,1
1681,1
1682,5
1683,8
1684,8
1685,6
1686,3
1687,2
1688,1
1689,8
1690,3
1691,2
1692,6
1693,5
1694,6
1695,7
1696,4
1697,1
1698,0
1699,5
1700,3
1701,1
1702,9
1703,2
1704,1
1705,9
1706,6
1707,0
1708,4
1709,6
1710,1
1711,7
1712,3
1713,8
1714,7
1715,2
1716,9
1717,6
1718,5
1719,8
1720,3
1721,5
1722,7
1723,1
1724,6
1725,1
1726,0
1727,9
1728,6
1729,2
1730,5
1731,4
1732,2
1733,3
1734,4
1735,4
1736,6
1737,0
1738,0
1739,2
1740,0
1741,1
1742,2
1743,3
1744,4
1745,5
1746,6
1747,7
1748,8
1749,9
1750,0
1751,1
1752,2
1753,3
1754,4
1755,5
1756,6
1757,7
1758,8
1759,9
1760,0
1761,1
1762,2
1763,3
1764,4
1765,5
1766,6
1767,7
1768,8
1769,9
1770,8
1771,6
1772,5
1773,0
1774,6
1775,8
1776,9
1777,4
1778,1
1779,9
1780,5
1781,3
1782,0
1783,4
1784,8
1785,9
1786,1
1787,4
1788,0
1789,5
1790,5
1791,2
1792,1
1793,5
1794,4
1795,0
1796,7
1797,6
1798,0
1799,1
1800,7
1801,0
1802,6
1803,8
1804,9
1805,5
1806,1
1807,7
1808,9
1809,8
1810,6
1811,0
1812,8
1813,1
1814,7
1815,7
1816,1
1817,3
1818,2
1819,3
1820,1
1821,4
1822,2
1823,0
1824,0
1825,7
1826,8
1827,4
1828,6
1829,4
1830,9
1831,3
1832,8
1833,4
1834,7
1835,2
1836,5
1837,6
1838,3
1839,6
1840,9
1841,6
1842,3
1843,2
1844,2
1845,4
1846,6
1847,9
1848,0
1849,2
1850,5
1851,5
1852,1
1853,3
1854,3
1855,9
1856,7
1857,8
1858,7
1859,2
1860,2
1861,5
1862,7
1863,9
1864,8
1865,2
1866,1
1867,3
1868,1
1869,3
1870,0
1871,1
1872,2
1873,3
1874,4
1875,5
1876,6
1877,7
1878,8
1879,9
1880,0
1881,1
1882,2
1883,3
1884,4
1885,5
1886,6
1887,7
1888,8
1889,9
1890,0
1891,1
1892,2
1893,3
1894,4
1895,5
1896,6
1897,7
1898,8
1899,9
1900,1
1901,2
1902,6
1903,5
1904,3
1905,0
1906,7
1907,0
1908,4
1909,1
1910,4
1911,3
1912,6
1913,7
1914,2
1915,3
1916,1
1917,2
1918,1
1919,2
1920,9
1921,6
1922,0
1923,1
1924,3
1925,0
1926,2
1927,7
1928,5
1929,7
1930,6
1931,2
1932,9
1933,1
1934,9
1935,0
1936,6
1937,0
1938,6
1939,0
1940,2
1941,0
1942,6
1943,1
1944,5
1945,8
1946,4
1947,3
1948,0
1949,1
1950,5
1951,4
1952,4
1953,8
1954,5
1955,7
1956,5
1957,7
1958,8
1959,3
1960,4
1961,8
1962,8
1963,5
1964,2
1965,9
1966,7
1967,1
1968,3
1969,8
1970,1
1971,0
1972,7
1973,5
1974,9
1975,6
1976,9
1977,4
1978,7
1979,7
1980,9
1981,9
1982,3
1983,4
1984,4
1985,3
1986,8
1987,6
1988,2
1989,0
1990,1
1991,2
1992,3
1993,4
1994,5
1995,6
1996,7
1997,8
1998,9
1999,0
2000,1
2001,2
2002,3
2003,4
2004,5
2005,6
2006,7
2007,8
2008,9
2009,0
2010,1
2011,2
2012,3
2013,4
2014,5
2015,6
2016,7
2017,8
2018,9
2019,0
2020,8
2021,3
2022,9
2023,5
2024,5
2025,2
2026,6
2027,8
2028,4
2029,9
2030,1
2031,7
2032,1
2033,2
2034,3
2035,5
2036,9
2037,6
2038,9
2039,1
2040,1
2041,1
2042,2
2043,9
2044,5
2045,6
2046,8
2047,1
2048,2
2049,0
2050,7
2051,7
2052,5
2053,8
2054,2
2055,9
2056,8
2057,9
2058,0
2059,4
2060,6
2061,7
2062,1
2063,3
2064,4
2065,5
2066,6
2067,0
2068,3
2069,6
2070,8
2071,7
2072,0
2073,4
2074,2
2075,7
2076,4
2077,7
2078,5
2079,4
2080,3
2081,4
2082,2
2083,8
2084,1
2085,5
2086,1
2087,2
2088,0
2089,2
2090,5
2091,6
2092,4
2093,3
2094,0
2095,0
2096,0
2097,3
2098,3
2099,5
2100,7
2101,0
2102,6
2103,4
2104,8
2105,8
2106,6
2107,3
2108,4
2109,6
2110,9
2111,9
2112,8
2113,2
2114,7
2115,7
2116,1
2117,0
2118,1
2119,2
2120,3
2121,4
2122,5
2123,6
2124,7
2125,8
2126,9
2127,0
2128,1
2129,2
2130,3
2131,4
2132,5
2133,6
2134,7
2135,8
2136,0
2137,1
2138,2
2139,3
2140,4
2141,5
2142,6
2143,7
2144,8
2145,2
2146,1
2147,7
2148,2
2149,5
2150,0
2151,8
2152,0
2153,2
2154,7
2155,8
2156,8
2157,3
2158,6
2159,0
2160,2
2161,7
2162,6
2163,6
2164,1
2165,2
2166,8
2167,8
2168,7
2169,7
2170,4
2171,7
2172,7
2173,3
2174,7
2175,4
2176,5
2177,4
2178,3
2179,3
2180,8
2181,4
2182,1
2183,1
2184,9
2185,7
2186,4
2187,3
2188,7
2189,3
2190,3
2191,0
2192,2
2193,5
2194,5
2195,6
2196,6
2197,3
2198,5
2199,2
2200,5
2201,9
2202,9
2203,8
2204,4
2205,1
2206,0
2207,6
2208,0
2209,9
2210,6
2211,8
2212,8
2213,5
2214,6
2215,1
2216,1
2217,9
2218,8
2219,9
2220,2
2221,3
2222,5
2223,5
2224,9
2225,4
2226,2
2227,1
2228,9
2229,3
2230,9
2231,2
2232,0
2233,6
2234,0
2235,4
2236,0
2237,0
2238,1
2239,2
2240,3
2241,4
2242,7
2243,8
2244,9
2245,0
2246,1
2247,2
2248,3
2249,7
2250,8
2251,9
2252,0
2253,1
2254,2
2255,3
2256,4
2257,7
2258,8
2259,9
2260,7
2261,3
2262,0
2263,3
2264,1
2265,8
2266,7
2267,6
2268,4
2269,0
2270,2
2271,6
2272,8
2273,3
2274,2
2275,8
2276,1
2277,2
2278,0
2279,7
2280,1
2281,0
2282,4
2283,4
2284,5
2285,8
2286,0
2287,6
2288,2
2289,3
2290,1
2291,5
2292,1
2293,8
2294,5
2295,9
2296,4
2297,0
2298,7
2299,5
2300,8
2301,8
2302,3
2303,8
2304,9
2305,2
2306,6
2307,2
2308,5
2309,3
2310,1
2311,7
2312,3
2313,9
2314,1
2315,9
2316,9
2317,6
2318,0
2319,3
2320,9
2321,2
2322,8
2323,1
2324,4
2325,3
2326,5
2327,2
2328,9
2329,2
2330,5
2331,8
2332,9
2333,5
2334,0
2335,1
2336,2
2337,4
2338,5
2339,6
2340,0
2341,1
2342,2
2343,3
2344,4
2345,5
2346,6
2347,7
2348,1
2349,2
2350,3
2351,4
2352,5
2353,1
2354,0
2355,4
2356,5
2357,6
2358,6
2359,3
2360,4
2361,4
2362,2
2363,8
2364,1
2365,0
2366,6
2367,4
2368,9
2369,7
2370,2
2371,3
2372,3
2373,9
2374,2
2375,0
2376,9
2377,3
2378,3
2379,9
2380,1
2381,5
2382,2
2383,3
2384,7
2385,7
2386,8
2387,4
2388,0
2389,2
2390,4
2391,0
2392,2
2393,4
2394,7
2395,8
2396,0
2397,7
2398,0
2399,6
2400,9
2401,3
2402,2
2403,8
2404,6
2405,0
2406,5
2407,7
2408,5
2409,1
2410,0
2411,8
2412,1
2413,6
2414,7
2415,2
2416,9
2417,7
2418,9
2419,5
2420,8
2421,6
2422,2
2423,6
2424,2
2425,8
2426,1
2427,7
2428,5
2429,0
2430,1
2431,1
2432,3
2433,8
2434,4
2435,9
2436,1
2437,8
2438,6
2439,8
2440,9
2441,0
2442,1
2443,2
2444,3
2445,4
2446,5
2447,6
2448,7
2449,8
2450,9
2451,0
2452,1
2453,2
2454,3
2455,4
2456,7
2457,8
2458,9
2459,0
2460,1
2461,7
2462,8
2463,9
2464,9
2465,8
2466,9
2467,8
2468,4
2469,1
2470,7
2471,7
2472,3
2473,3
2474,7
2475,6
2476,6
2477,6
2478,1
2479,9
2480,0
2481,1
2482,7
2483,6
2484,3
2485,2
2486,1
2487,7
2488,1
2489,3
2490,9
2491,1
2492,7
2493,6
2494,8
2495,4
2496,1
2497,4
2498,3
2499,6
2500,9
2501,6
2502,1
2503,4
2504,4
2505,7
2506,2
2507,4
2508,4
2509,0
2510,1
2511,2
2512,3
2513,4
2514,5
2515,6
2516,7
2517,8
2518,9
2519,0
2520,1
2521,2
2522,3
2523,4
2524,5
2525,6
2526,9
2527,0
2528,1
2529,2
2530,3
2531,4
2532,7
2533,8
2534,1
2535,3
2536,5
2537,1
2538,7
2539,7
2540,2
2541,1
2542,4
2543,8
2544,3
2545,4
2546,4
2547,3
2548,9
2549,7
2550,4
2551,1
2552,2
2553,3
2554,5
2555,9
2556,1
2557,6
2558,0
2559,1
2560,0
2561,0
2562,2
2563,8
2564,7
2565,1
2566,1
2567,4
2568,0
2569,4
2570,7
2571,3
2572,6
2573,8
2574,0
2575,3
2576,7
2577,4
2578,0
2579,6
2580,9
2581,2
2582,6
2583,5
2584,8
2585,6
2586,9
2587,0
2588,4
2589,0
2590,6
2591,1
2592,9
2593,2
2594,0
2595,9
2596,5
2597,1
2598,3
2599,7
2600,6
2601,9
2602,3
2603,0
2604,2
2605,2
2606,0
2607,1
2608,2
2609,3
2610,4
2611,5
2612,6
2613,7
2614,8
2615,9
2616,0
2617,1
2618,2
2619,3
2620,4
2621,5
2622,6
2623,7
2624,8
2625,9
2626,0
2627,1
2628,2
2629,3
2630,4
2631,5
2632,6
2633,7
2634,8
2635,9
2636,2
2637,1
2638,7
2639,2
2640,5
2641,0
2642,8
2643,0
2644,2
2645,7
2646,8
2647,8
2648,3
2649,0
2650,6
2651,0
2652,2
2653,7
2654,6
2655,6
2656,1
2657,2
2658,8
2659,8
2660,7
2661,7
2662,4
2663,7
2664,7
2665,3
2666,7
2667,4
2668,5
2669,4
2670,3
2671,3
2672,8
2673,4
2674,5
2675,4
2676,1
2677,1
2678,9
2679,7
2680,4
2681,3
2682,7
2683,3
2684,3
2685,0
2686,2
2687,5
2688,5
2689,6
2690,3
2691,1
2692,5
2693,2
2694,5
2695,9
2696,9
2697,8
2698,4
2699,1
2700,0
2701,6
2702,0
2703,9
2704,6
2705,8
2706,8
2707,5
2708,6
2709,1
2710,1
2711,9
2712,8
2713,9
2714,2
2715,3
2716,5
2717,5
2718,9
2719,4
2720,2
2721,1
2722,9
2723,4
2724,9
2725,1
2726,3
2727,9
2728,2
2729,0
2730,6
2731,0
2732,4
2733,0
2734,6
2735,0
2736,1
2737,2
2738,3
2739,4
2740,5
2741,6
2742,7
2743,8
2744,9
2745,0
2746,1
2747,2
2748,3
2749,4
2750,5
2751,6
2752,7
2753,8
2754,9
2755,0
2756,1
2757,2
2758,3
2759,4
2760,5
2761,6
2762,7
2763,8
2764,9
2765,3
2766,8
2767,0
2768,7
2769,1
2770,0
2771,7
2772,5
2773,5
2774,6
2775,9
2776,0
2777,1
2778,0
2779,0
2780,8
2781,3
2782,4
2783,3
2784,1
2785,5
2786,0
2787,0
2788,9
2789,5
2790,3
2791,4
2792,9
2793,3
2794,7
2795,6
2796,9
2797,2
2798,4
2799,5
2800,7
2801,2
2802,6
2803,4
2804,9
2805,4
2806,9
2807,4
2808,1
2809,2
2810,2
2811,5
2812,8
2813,1
2814,3
2815,2
2816,9
2817,4
2818,3
2819,8
2820,2
2821,2
2822,1
2823,2
2824,8
2825,6
2826,5
2827,1
2828,6
2829,7
2830,2
2831,1
2832,3
2833,9
2834,3
2835,8
2836,7
2837,5
2838,7
2839,0
2840,7
2841,4
2842,8
2843,8
2844,5
2845,0
2846,6
2847,6
2848,3
2849,7
2850,6
2851,9
2852,9
2853,4
2854,8
2855,4
2856,1
2857,0
2858,6
2859,6
2860,0
2861,1
2862,2
2863,3
2864,4
2865,5
2866,6
2867,7
2868,8
2869,9
2870,0
2871,1
2872,2
2873,3
2874,4
2875,5
2876,6
2877,7
2878,8
2879,9
2880,0
2881,1
2882,2
2883,3
2884,4
2885,5
2886,6
2887,7
2888,8
2889,9
2890,7
2891,4
2892,0
2893,4
2894,0
2895,1
2896,7
2897,9
2898,5
2899,1
2900,4
2901,2
2902,8
2903,9
2904,4
2905,3
2906,7
2907,8
2908,2
2909,4
2910,4
2911,3
2912,3
2913,6
2914,9
2915,9
2916,5
2917,8
2918,6
2919,7
2920,0
2921,6
2922,8
2923,2
2924,6
2925,3
2926,9
2927,3
2928,2
2929,8
2930,6
2931,1
2932,7
2933,4
2934,8
2935,8
2936,9
2937,0
2938,3
2939,3
2940,9
2941,0
2942,5
2943,2
2944,9
2945,4
2946,1
2947,0
2948,3
2949,7
2950,5
2951,8
2952,7
2953,7
2954,8
2955,2
2956,9
2957,7
2958,1
2959,2
2960,6
2961,4
2962,2
2963,5
2964,2
2965,3
2966,6
2967,6
2968,5
2969,0
2970,0
2971,2
2972,8
2973,1
2974,6
2975,1
2976,0
2977,4
2978,3
2979,1
2980,6
2981,1
2982,9
2983,0
2984,1
2985,4
2986,5
2987,6
2988,7
2989,8
2990,9
2991,1
2992,2
2993,3
2994,4
2995,5
2996,6
2997,7
