,digit
514,8
515,9
516,3
517,9
518,9
519,9
520,6
521,7
522,5
523,0
524,2
525,3
526,7
527,1
528,1
529,5
530,9
531,3
532,8
533,2
534,7
535,6
536,7
537,7
538,2
539,3
540,7
541,2
542,8
543,5
544,7
545,4
546,6
547,5
548,5
549,1
550,5
551,5
552,2
553,1
554,1
555,7
556,9
557,6
558,9
559,7
560,6
561,2
562,1
563,1
564,7
565,3
566,8
567,8
568,6
569,8
570,8
571,0
572,7
573,3
574,9
575,9
576,3
577,9
578,0
579,3
580,0
581,5
582,8
583,6
584,1
585,2
586,3
587,5
588,7
589,0
590,9
591,7
592,2
593,8
594,1
595,7
596,6
597,9
598,5
599,6
600,4
601,7
602,3
603,0
604,7
605,3
606,1
607,1
608,7
609,7
610,4
611,1
612,2
613,4
614,1
615,5
616,7
617,9
618,3
619,7
620,3
621,8
622,1
623,8
624,7
625,6
626,2
627,7
628,3
629,4
630,6
631,6
632,6
633,9
634,5
635,5
636,3
637,6
638,5
639,5
640,7
641,3
642,4
643,9
644,1
645,5
646,3
647,4
648,1
649,4
650,5
651,1
652,0
653,9
654,0
655,1
656,7
657,3
658,0
659,9
660,0
661,6
662,8
663,6
664,0
665,0
666,8
667,6
668,0
669,3
670,8
671,8
672,9
673,0
674,0
675,4
676,0
677,7
678,5
679,8
680,6
681,2
682,9
683,3
684,6
685,9
686,0
687,3
688,8
689,0
690,4
691,9
692,0
693,9
694,3
695,7
696,9
697,8
698,7
699,2
700,7
701,5
702,2
703,5
704,8
705,1
706,0
707,6
708,6
709,1
710,8
711,3
712,1
713,2
714,0
715,9
716,5
717,5
718,1
719,1
720,0
721,3
722,2
723,1
724,2
725,5
726,2
727,4
728,9
729,7
730,1
731,3
732,0
733,1
734,8
735,9
736,6
737,5
738,1
739,6
740,3
741,4
742,0
743,0
744,6
745,0
746,4
747,2
748,5
749,9
750,7
751,4
752,0
753,2
754,3
755,8
756,3
757,9
758,5
759,9
760,3
761,9
762,2
763,1
764,3
765,6
766,6
767,0
768,5
769,7
770,0
771,3
772,3
773,1
774,0
775,1
776,4
777,0
778,2
779,5
780,2
781,4
782,8
783,1
784,4
785,9
786,7
787,3
788,0
789,0
790,5
791,9
792,8
793,3
794,7
795,6
796,6
797,0
798,1
799,9
800,4
801,5
802,7
803,1
804,6
805,5
806,8
807,2
808,8
809,6
810,2
811,2
812,1
813,3
814,9
815,4
816,3
817,9
818,3
819,1
820,0
821,0
822,9
823,2
824,4
825,3
826,4
827,5
828,0
829,1
830,3
831,5
832,9
833,6
834,0
835,1
836,1
837,2
838,6
839,3
840,7
841,5
842,9
843,1
844,3
845,1
846,7
847,1
848,1
849,7
850,9
851,4
852,6
853,0
854,0
855,1
856,2
857,5
858,5
859,8
860,9
861,4
862,2
863,6
864,7
865,7
866,5
867,0
868,1
869,1
870,0
871,7
872,2
873,6
874,7
875,5
876,8
877,2
878,2
879,3
880,8
881,6
882,2
883,9
884,8
885,4
886,2
887,9
888,7
889,6
890,6
891,1
892,7
893,6
894,3
895,7
896,8
897,0
898,7
899,3
900,1
901,7
902,6
903,3
904,0
905,7
906,2
907,1
908,7
909,3
910,1
911,2
912,3
913,5
914,8
915,8
916,2
917,6
918,8
919,4
920,1
921,0
922,9
923,3
924,2
925,6
926,3
927,9
928,7
929,8
930,6
931,7
932,3
933,0
934,4
935,4
936,9
937,3
938,6
939,3
940,3
941,3
942,1
943,3
944,3
945,9
946,8
947,0
948,5
949,1
950,4
951,3
952,0
953,0
954,9
955,4
956,2
957,2
958,4
959,3
960,2
961,8
962,9
963,2
964,9
965,8
966,1
967,9
968,2
969,1
970,7
971,0
972,9
973,6
974,7
975,7
976,9
977,6
978,2
979,0
980,3
981,5
982,3
983,4
984,3
985,5
986,7
987,5
988,1
989,9
990,9
991,2
992,6
993,7
994,1
995,3
996,4
997,7
998,6
999,9
1000,3
1001,3
1002,4
1003,7
1004,3
1005,2
1006,8
1007,6
1008,8
1009,8
1010,2
1011,9
1012,3
1013,0
1014,4
1015,4
1016,7
1017,7
1018,5
1019,8
1020,3
1021,5
1022,1
1023,4
1024,1
1025,6
1026,6
1027,0
1028,1
1029,5
1030,7
1031,8
1032,1
1033,4
1034,0
1035,3
1036,9
1037,8
1038,1
1039,6
1040,1
1041,4
1042,9
1043,9
1044,3
1045,1
1046,1
1047,1
1048,8
1049,0
1050,0
1051,6
1052,5
1053,3
1054,7
1055,4
1056,1
1057,1
1058,2
1059,3
1060,0
1061,9
1062,9
1063,2
1064,2
1065,1
1066,3
1067,6
1068,4
1069,3
1070,3
1071,4
1072,6
1073,0
1074,3
1075,4
1076,5
1077,6
1078,4
1079,4
1080,8
1081,7
1082,2
1083,4
1084,0
1085,1
1086,5
1087,3
1088,3
1089,5
1090,7
1091,7
1092,8
1093,1
1094,6
1095,7
1096,5
1097,4
1098,2
1099,6
1100,2
1101,5
1102,7
1103,4
1104,7
1105,3
1106,6
1107,9
1108,8
1109,3
1110,8
1111,4
1112,0
1113,4
1114,4
1115,1
1116,9
1117,4
1118,2
1119,1
1120,5
1121,3
1122,2
1123,8
1124,0
1125,5
1126,9
1127,6
1128,6
1129,7
1130,0
1131,1
1132,3
1133,3
1134,0
1135,7
1136,7
1137,4
1138,5
1139,1
1140,2
1141,8
1142,7
1143,1
1144,8
1145,4
1146,6
1147,4
1148,5
1149,7
1150,0
1151,2
1152,9
1153,6
1154,6
1155,2
1156,5
1157,2
1158,1
1159,3
1160,0
1161,4
1162,0
1163,8
1164,8
1165,1
1166,6
1167,4
1168,1
1169,8
1170,0
1171,3
1172,8
1173,2
1174,4
1175,5
1176,2
1177,0
1178,7
1179,9
1180,4
1181,1
1182,4
1183,6
1184,3
1185,2
1186,3
1187,1
1188,4
1189,7
1190,2
1191,7
1192,4
1193,3
1194,1
1195,9
1196,1
1197,2
1198,9
1199,5
1200,4
1201,8
1202,7
1203,7
1204,1
1205,6
1206,7
1207,6
1208,9
1209,9
1210,8
1211,4
1212,7
1213,1
1214,1
1215,7
1216,4
1217,9
1218,0
1219,7
1220,2
1221,6
1222,0
1223,8
1224,7
1225,6
1226,1
1227,3
1228,3
1229,2
1230,3
1231,9
1232,1
1233,5
1234,2
1235,3
1236,1
1237,1
1238,1
1239,0
1240,9
1241,4
1242,3
1243,5
1244,0
1245,3
1246,9
1247,1
1248,1
1249,9
1250,4
1251,3
1252,5
1253,8
1254,2
1255,6
1256,7
1257,9
1258,0
1259,5
1260,6
1261,6
1262,3
1263,9
1264,1
1265,6
1266,0
1267,6
1268,5
1269,4
1270,4
1271,8
1272,0
1273,9
1274,0
1275,7
1276,4
1277,9
1278,7
1279,8
1280,0
1281,7
1282,4
1283,8
1284,1
1285,4
1286,8
1287,1
1288,4
1289,8
1290,8
1291,0
1292,2
1293,9
1294,9
1295,6
1296,1
1297,3
1298,0
1299,1
1300,4
1301,3
1302,0
1303,7
1304,7
1305,4
1306,1
1307,2
1308,6
1309,8
1310,4
1311,7
1312,5
1313,7
1314,7
1315,3
1316,3
1317,6
1318,2
1319,2
1320,9
1321,7
1322,7
1323,4
1324,9
1325,2
1326,2
1327,1
1328,5
1329,1
1330,5
1331,5
1332,5
1333,5
1334,8
1335,4
1336,9
1337,2
1338,3
1339,6
1340,6
1341,5
1342,8
1343,4
1344,7
1345,8
1346,3
1347,7
1348,8
1349,0
1350,8
1351,4
1352,2
1353,3
1354,8
1355,3
1356,4
1357,2
1358,3
1359,1
1360,6
1361,1
1362,9
1363,0
1364,9
1365,6
1366,5
1367,8
1368,8
1369,6
1370,6
1371,0
1372,1
1373,0
1374,6
1375,0
1376,6
1377,9
1378,6
1379,7
1380,2
1381,5
1382,4
1383,9
1384,6
1385,7
1386,3
1387,1
1388,7
1389,7
1390,2
1391,6
1392,8
1393,4
1394,4
1395,2
1396,8
1397,9
1398,9
1399,0
1400,1
1401,3
1402,2
1403,9
1404,8
1405,5
1406,5
1407,6
1408,7
1409,0
1410,8
1411,6
1412,3
1413,8
1414,5
1415,2
1416,1
1417,2
1418,1
1419,9
1420,3
1421,5
1422,7
1423,1
1424,6
1425,5
1426,0
1427,1
1428,3
1429,1
1430,7
1431,2
1432,7
1433,2
1434,1
1435,6
1436,0
1437,7
1438,3
1439,3
1440,6
1441,6
1442,4
1443,1
1444,1
1445,9
1446,8
1447,8
1448,5
1449,0
1450,4
1451,9
1452,2
1453,0
1454,7
1455,7
1456,3
1457,8
1458,7
1459,7
1460,8
1461,2
1462,4
1463,9
1464,0
1465,3
1466,1
1467,6
1468,9
1469,4
1470,0
1471,5
1472,2
1473,8
1474,3
1475,8
1476,2
1477,4
1478,0
1479,5
1480,3
1481,5
1482,2
1483,3
1484,8
1485,7
1486,7
1487,0
1488,4
1489,5
1490,3
1491,3
1492,1
1493,6
1494,7
1495,9
1496,8
1497,3
1498,5
1499,9
1500,5
1501,5
1502,0
1503,0
1504,1
1505,1
1506,0
1507,3
1508,8
1509,1
1510,3
1511,3
1512,2
1513,4
1514,5
1515,2
1516,2
1517,8
1518,9
1519,6
1520,5
1521,3
1522,0
1523,9
1524,3
1525,4
1526,1
1527,1
1528,3
1529,2
1530,7
1531,8
1532,4
1533,6
1534,5
1535,3
1536,2
1537,9
1538,5
1539,2
1540,7
1541,7
1542,6
1543,4
1544,4
1545,6
1546,3
1547,4
1548,6
1549,5
1550,6
1551,9
1552,4
1553,7
1554,1
1555,1
1556,7
1557,1
1558,5
1559,0
1560,8
1561,4
1562,8
1563,9
1564,5
1565,1
1566,9
1567,1
1568,9
1569,3
1570,3
1571,5
1572,0
1573,4
1574,0
1575,2
1576,3
1577,1
1578,1
1579,6
1580,1
1581,0
1582,8
1583,0
1584,7
1585,2
1586,9
1587,2
1588,1
1589,0
1590,7
1591,3
1592,7
1593,7
1594,3
1595,6
1596,4
1597,7
1598,3
1599,4
1600,1
1601,4
1602,3
1603,5
1604,3
1605,6
1606,8
1607,1
1608,5
1609,5
1610,5
1611,6
1612,6
1613,9
1614,6
1615,6
1616,6
1617,8
1618,6
1619,8
1620,4
1621,9
1622,3
1623,6
1624,7
1625,3
1626,7
1627,1
1628,6
1629,4
1630,7
1631,3
1632,8
1633,0
1634,8
1635,9
1636,1
1637,1
1638,7
1639,6
1640,9
1641,9
1642,1
1643,7
1644,9
1645,0
1646,6
1647,0
1648,8
1649,2
1650,1
1651,6
1652,4
1653,1
1654,0
1655,8
1656,1
1657,3
1658,8
1659,8
1660,6
1661,8
1662,0
1663,2
1664,3
1665,7
1666,6
1667,3
1668,2
1669,4
1670,3
1671,3
1672,1
1673,7
1674,8
1675,7
1676,0
1677,0
1678,3
1679,4
1680,9
1681,1
1682,9
1683,9
1684,8
1685,3
1686,2
1687,7
1688,5
1689,3
1690,0
1691,0
1692,5
1693,5
1694,7
1695,3
1696,6
1697,7
1698,3
1699,0
1700,6
1701,4
1702,8
1703,7
1704,3
1705,7
1706,4
1707,3
1708,7
1709,4
1710,0
1711,4
1712,8
1713,7
1714,9
1715,7
1716,2
1717,1
1718,1
1719,9
1720,4
1721,3
1722,8
1723,9
1724,2
1725,6
1726,0
1727,7
1728,7
1729,0
1730,6
1731,3
1732,6
1733,7
1734,5
1735,4
1736,6
1737,0
1738,1
1739,0
1740,4
1741,4
1742,4
1743,7
1744,8
1745,2
1746,2
1747,2
1748,6
1749,1
1750,6
1751,8
1752,7
1753,3
1754,6
1755,0
1756,1
1757,7
1758,8
1759,3
1760,4
1761,4
1762,4
1763,1
1764,4
1765,0
1766,7
1767,9
1768,5
1769,5
1770,8
1771,0
1772,2
1773,6
1774,1
1775,8
1776,3
1777,6
1778,4
1779,2
1780,1
1781,5
1782,9
1783,8
1784,0
1785,7
1786,5
1787,0
1788,0
1789,1
1790,5
1791,3
1792,7
1793,0
1794,8
1795,1
1796,8
1797,0
1798,9
1799,1
1800,8
1801,9
1802,3
1803,3
1804,0
1805,8
1806,7
1807,5
1808,8
1809,5
1810,9
1811,4
1812,0
1813,8
1814,6
1815,0
1816,8
1817,5
1818,2
1819,1
1820,7
1821,2
1822,5
1823,8
1824,2
1825,8
1826,9
1827,1
1828,9
1829,7
1830,6
1831,8
1832,2
1833,8
1834,9
1835,1
1836,2
1837,6
1838,0
1839,1
1840,2
1841,7
1842,5
1843,7
1844,0
1845,1
1846,3
1847,4
1848,0
1849,8
1850,9
1851,1
1852,6
1853,5
1854,7
1855,9
1856,3
1857,9
1858,0
1859,4
1860,2
1861,2
1862,2
1863,3
1864,9
1865,3
1866,9
1867,2
1868,6
1869,6
1870,8
1871,7
1872,5
1873,9
1874,0
1875,2
1876,0
1877,4
1878,0
1879,7
1880,9
1881,6
1882,5
1883,4
1884,2
1885,1
1886,3
1887,8
1888,3
1889,1
1890,9
1891,4
1892,8
1893,9
1894,7
1895,3
1896,2
1897,5
1898,7
1899,0
1900,9
1901,7
1902,2
1903,7
1904,5
1905,6
1906,1
1907,9
1908,0
1909,5
1910,3
1911,7
1912,5
1913,7
1914,3
1915,6
1916,5
1917,1
1918,4
1919,0
1920,1
1921,0
1922,6
1923,9
1924,1
1925,2
1926,7
1927,7
1928,4
1929,7
1930,2
1931,3
1932,8
1933,3
1934,5
1935,0
1936,8
1937,4
1938,2
1939,2
1940,9
1941,4
1942,3
1943,8
1944,4
1945,1
1946,0
1947,1
1948,1
1949,5
1950,0
1951,5
1952,4
1953,9
1954,7
1955,0
1956,4
1957,4
1958,3
1959,6
1960,0
1961,9
1962,3
1963,2
1964,8
1965,2
1966,8
1967,6
1968,5
1969,6
1970,5
1971,9
1972,9
1973,5
1974,9
1975,3
1976,1
1977,1
1978,3
1979,3
1980,3
1981,0
1982,1
1983,7
1984,6
1985,5
1986,7
1987,5
1988,1
1989,8
1990,2
1991,9
1992,7
1993,0
1994,0
1995,3
1996,8
1997,8
1998,8
1999,6
2000,9
2001,4
2002,7
2003,0
2004,8
2005,9
2006,4
2007,2
2008,2
2009,7
2010,3
2011,0
2012,0
2013,6
2014,8
2015,8
2016,3
2017,5
2018,1
2019,4
2020,8
2021,6
2022,6
2023,4
2024,0
2025,5
2026,4
2027,4
2028,5
2029,9
2030,6
2031,9
2032,6
2033,9
2034,7
2035,1
2036,4
2037,6
2038,7
2039,2
2040,6
2041,2
2042,8
2043,9
2044,7
2045,9
2046,4
2047,1
2048,6
2049,0
2050,8
2051,3
2052,5
2053,8
2054,7
2055,2
2056,1
2057,8
2058,9
2059,8
2060,3
2061,0
2062,1
2063,8
2064,6
2065,4
2066,4
2067,7
2068,6
2069,2
2070,8
2071,3
2072,8
2073,1
2074,0
2075,2
2076,3
2077,3
2078,3
2079,8
2080,5
2081,1
2082,4
2083,9
2084,4
2085,7
2086,3
2087,9
2088,1
2089,5
2090,2
2091,9
2092,8
2093,4
2094,9
2095,2
2096,0
2097,6
2098,9
2099,5
2100,1
2101,1
2102,2
2103,8
2104,1
2105,7
2106,1
2107,9
2108,8
2109,8
2110,4
2111,9
2112,1
2113,9
2114,2
2115,6
2116,0
2117,4
2118,6
2119,1
2120,6
2121,2
2122,9
2123,3
2124,7
2125,7
2126,7
2127,4
2128,7
2129,6
2130,7
2131,7
2132,5
2133,3
2134,2
2135,3
2136,8
2137,9
2138,5
2139,3
2140,9
2141,1
2142,2
2143,8
2144,2
2145,6
2146,0
2147,7
2148,0
2149,6
2150,2
2151,1
2152,9
2153,1
2154,6
2155,2
2156,0
2157,3
2158,6
2159,1
2160,6
2161,3
2162,6
2163,1
2164,7
2165,7
2166,4
2167,4
2168,1
2169,1
2170,9
2171,8
2172,7
2173,6
2174,7
2175,6
2176,4
2177,6
2178,5
2179,8
2180,4
2181,5
2182,5
2183,5
2184,8
2185,9
2186,1
2187,8
2188,5
2189,1
2190,3
2191,5
2192,2
2193,4
2194,4
2195,0
2196,7
2197,8
2198,1
2199,5
2200,7
2201,4
2202,5
2203,3
2204,3
2205,9
2206,6
2207,4
2208,1
2209,6
2210,9
2211,8
2212,6
2213,2
2214,3
2215,0
2216,8
2217,5
2218,8
2219,6
2220,9
2221,9
2222,8
2223,5
2224,9
2225,8
2226,0
2227,4
2228,1
2229,3
2230,4
2231,4
2232,7
2233,4
2234,5
2235,0
2236,7
2237,2
2238,7
2239,4
2240,3
2241,4
2242,8
2243,9
2244,5
2245,9
2246,1
2247,9
2248,9
2249,0
2250,8
2251,1
2252,6
2253,0
2254,2
2255,2
2256,1
2257,0
2258,8
2259,8
2260,2
2261,7
2262,4
2263,5
2264,3
2265,9
2266,7
2267,7
2268,6
2269,2
2270,0
2271,1
2272,6
2273,9
2274,9
2275,7
2276,7
2277,2
2278,9
2279,5
2280,4
2281,5
2282,5
2283,1
2284,8
2285,3
2286,9
2287,0
2288,1
2289,9
2290,2
2291,4
2292,4
2293,3
2294,2
2295,2
2296,9
2297,5
2298,4
2299,2
2300,3
2301,4
2302,2
2303,7
2304,8
2305,4
2306,0
2307,1
2308,6
2309,6
2310,2
2311,6
2312,9
2313,5
2314,0
2315,5
2316,0
2317,1
2318,0
2319,1
2320,0
2321,0
2322,1
2323,2
2324,6
2325,2
2326,9
2327,9
2328,4
2329,1
2330,8
2331,5
2332,5
2333,7
2334,3
2335,7
2336,5
2337,5
2338,8
2339,0
2340,4
2341,3
2342,0
2343,0
2344,6
2345,5
2346,4
2347,4
2348,2
2349,3
2350,3
2351,7
2352,7
2353,8
2354,0
2355,4
2356,3
2357,4
2358,7
2359,0
2360,0
2361,1
2362,7
2363,9
2364,4
2365,3
2366,2
2367,3
2368,6
2369,9
2370,7
2371,8
2372,2
2373,9
2374,6
2375,2
2376,4
2377,2
2378,0
2379,3
2380,3
2381,3
2382,5
2383,6
2384,6
2385,6
2386,6
2387,3
2388,4
2389,7
2390,4
2391,0
2392,4
2393,8
2394,3
2395,6
2396,2
2397,4
2398,2
2399,8
2400,4
2401,7
2402,9
2403,9
2404,1
2405,5
2406,1
2407,1
2408,0
2409,5
2410,8
2411,7
2412,2
2413,2
2414,0
2415,4
2416,1
2417,7
2418,8
2419,3
2420,8
2421,2
2422,7
2423,8
2424,1
2425,4
2426,7
2427,0
2428,2
2429,8
2430,9
2431,5
2432,4
2433,5
2434,2
2435,4
2436,6
2437,8
2438,7
2439,0
2440,9
2441,7
2442,6
2443,2
2444,5
2445,4
2446,1
2447,7
2448,1
2449,4
2450,9
2451,8
2452,6
2453,1
2454,3
2455,8
2456,0
2457,1
2458,4
2459,8
2460,2
2461,8
2462,9
2463,9
2464,5
2465,0
2466,1
2467,3
2468,1
2469,0
2470,0
2471,5
2472,1
2473,4
2474,1
2475,1
2476,2
2477,0
2478,0
2479,2
2480,2
2481,4
2482,3
2483,1
2484,8
2485,3
2486,8
2487,8
2488,1
2489,4
2490,4
2491,1
2492,5
2493,7
2494,5
2495,3
2496,7
2497,4
2498,7
2499,7
2500,9
2501,9
2502,5
2503,5
2504,8
2505,4
2506,0
2507,5
2508,6
2509,8
2510,1
2511,3
2512,6
2513,7
2514,5
2515,0
2516,3
2517,4
2518,8
2519,6
2520,3
2521,6
2522,8
2523,2
2524,1
2525,2
2526,0
2527,4
2528,3
2529,0
2530,0
2531,4
2532,3
2533,0
2534,1
2535,7
2536,0
2537,6
2538,6
2539,2
2540,0
2541,6
2542,9
2543,1
2544,4
2545,1
2546,5
2547,2
2548,7
2549,6
2550,1
2551,1
2552,0
2553,4
2554,5
2555,8
2556,1
2557,9
2558,2
2559,2
2560,2
2561,0
2562,7
2563,9
2564,5
2565,1
2566,6
2567,5
2568,9
2569,4
2570,4
2571,2
2572,3
2573,5
2574,4
2575,8
2576,3
2577,7
2578,9
2579,6
2580,9
2581,2
2582,6
2583,8
2584,4
2585,5
2586,3
2587,5
2588,4
2589,5
2590,0
2591,5
2592,7
2593,5
2594,5
2595,8
2596,3
2597,6
2598,4
2599,8
2600,2
2601,0
2602,0
2603,1
2604,8
2605,6
2606,2
2607,2
2608,4
2609,2
2610,6
2611,3
2612,8
2613,7
2614,7
2615,4
2616,4
2617,1
2618,0
2619,6
2620,1
2621,0
2622,8
2623,1
2624,6
2625,9
2626,2
2627,9
2628,1
2629,4
2630,6
2631,1
2632,3
2633,3
2634,0
2635,7
2636,7
2637,5
2638,1
2639,3
2640,4
2641,2
2642,1
2643,5
2644,0
2645,2
2646,3
2647,6
2648,0
2649,5
2650,1
2651,0
2652,0
2653,9
2654,0
2655,2
2656,2
2657,5
2658,3
2659,1
2660,2
2661,4
2662,3
2663,6
2664,8
2665,7
2666,5
2667,5
2668,6
2669,4
2670,9
2671,6
2672,0
2673,3
2674,0
2675,6
2676,2
2677,5
2678,3
2679,7
2680,5
2681,8
2682,8
2683,9
2684,4
2685,6
2686,7
2687,5
2688,0
2689,3
2690,2
2691,3
2692,6
2693,7
2694,9
2695,7
2696,1
2697,7
2698,8
2699,6
2700,3
2701,8
2702,7
2703,7
2704,2
2705,0
2706,8
2707,3
2708,0
2709,9
2710,9
2711,7
2712,6
2713,6
2714,3
2715,1
2716,4
2717,0
2718,5
2719,8
2720,9
2721,0
2722,7
2723,4
2724,8
2725,1
2726,2
2727,8
2728,2
2729,1
2730,5
2731,8
2732,3
2733,2
2734,2
2735,6
2736,7
2737,2
2738,2
2739,7
2740,1
2741,3
2742,1
2743,3
2744,2
2745,7
2746,3
2747,4
2748,4
2749,6
2750,6
2751,7
2752,4
2753,5
2754,2
2755,8
2756,9
2757,9
2758,6
2759,6
2760,7
2761,7
2762,1
2763,1
2764,5
2765,7
2766,4
2767,7
2768,1
2769,1
2770,2
2771,6
2772,1
2773,8
2774,3
2775,8
2776,7
2777,1
2778,6
2779,2
2780,5
2781,9
2782,9
2783,2
2784,1
2785,2
2786,6
2787,2
2788,7
2789,0
2790,0
2791,9
2792,8
2793,1
2794,1
2795,8
2796,1
2797,3
2798,1
2799,8
2800,3
2801,9
2802,5
2803,2
2804,1
2805,2
2806,2
2807,6
2808,8
2809,3
2810,6
2811,3
2812,9
2813,9
2814,0
2815,4
2816,5
2817,4
2818,2
2819,7
2820,7
2821,9
2822,5
2823,9
2824,0
2825,5
2826,7
2827,6
2828,7
2829,2
2830,1
2831,8
2832,1
2833,6
2834,3
2835,4
2836,9
2837,7
2838,7
2839,0
2840,7
2841,2
2842,1
2843,1
2844,3
2845,3
2846,8
2847,2
2848,8
2849,3
2850,4
2851,2
2852,5
2853,9
2854,0
2855,3
2856,9
2857,0
2858,2
2859,1
2860,1
2861,2
2862,1
2863,1
2864,6
2865,9
2866,0
2867,8
2868,4
2869,2
2870,1
2871,0
2872,1
2873,2
2874,1
2875,6
2876,6
2877,3
2878,1
2879,4
2880,1
2881,6
2882,2
2883,5
2884,6
2885,1
2886,5
2887,3
2888,7
2889,8
2890,3
2891,4
2892,0
2893,7
2894,6
2895,8
2896,2
2897,7
2898,8
2899,4
2900,8
2901,6
2902,8
2903,5
2904,5
2905,1
2906,6
2907,7
2908,8
2909,3
2910,5
2911,7
2912,3
2913,6
2914,8
2915,7
2916,5
2917,3
2918,8
2919,2
2920,8
2921,9
2922,4
2923,2
2924,4
2925,4
2926,1
2927,9
2928,2
2929,8
2930,7
2931,0
2932,1
2933,4
2934,6
2935,0
2936,6
2937,2
2938,9
2939,1
2940,0
2941,0
2942,2
2943,1
2944,1
2945,0
2946,1
2947,0
2948,4
2949,3
2950,4
2951,0
2952,2
2953,5
2954,5
2955,6
2956,7
2957,2
2958,1
2959,8
2960,2
2961,9
2962,0
2963,9
2964,9
2965,8
2966,6
2967,6
2968,1
2969,6
2970,1
2971,1
2972,3
2973,6
2974,2
2975,9
2976,6
2977,5
2978,7
2979,3
2980,2
2981,3
2982,4
2983,5
2984,8
2985,1
2986,4
2987,6
2988,4
2989,8
2990,5
2991,1
2992,5
2993,6
2994,5
2995,0
2996,1
2997,6
